task,seed,method,accuracy,correct,n_test,wilson_low,wilson_high,alpha,validation_accuracy
side,101,raw_history,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
side,101,raw_integrated,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
order,101,raw_history,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
order,101,raw_integrated,0.4,24,60,0.28569490534882835,0.5263394650795891,1000.0,0.55
side,202,raw_history,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
side,202,raw_integrated,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
order,202,raw_history,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
order,202,raw_integrated,0.5333333333333333,32,60,0.40893427027158225,0.653720939585612,1000.0,0.5
side,303,raw_history,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
side,303,raw_integrated,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
order,303,raw_history,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
order,303,raw_integrated,0.4666666666666667,28,60,0.34627906041438805,0.5910657297284178,1000.0,0.6
side,101,connectome,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
side,101,shuffled_labels,0.6333333333333333,38,60,0.5068300063010338,0.743790833127743,1000.0,0.6
order,101,connectome,0.6,36,60,0.47366053492041094,0.7143050946511716,1000.0,0.75
order,101,shuffled_labels,0.43333333333333335,26,60,0.31572396804687064,0.558965612238741,10.0,0.4
side,101,target_permutation,0.8833333333333333,53,60,0.7782121197582949,0.9423227935994386,1000.0,0.95
order,101,target_permutation,0.45,27,60,0.33093654406755546,0.5750806411466532,1000.0,0.25
side,101,no_connections,0.6,36,60,0.47366053492041094,0.7143050946511716,100.0,0.6
order,101,no_connections,0.5333333333333333,32,60,0.40893427027158225,0.653720939585612,1000.0,0.55
side,202,connectome,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
side,202,shuffled_labels,0.36666666666666664,22,60,0.2562091668722569,0.4931699936989662,100.0,0.6
order,202,connectome,0.55,33,60,0.42491935885334686,0.6690634559324447,1000.0,0.6
order,202,shuffled_labels,0.38333333333333336,23,60,0.270882723740823,0.5098240417589973,1000.0,0.6
side,202,target_permutation,0.75,45,60,0.6276792992295255,0.8422347746994312,100.0,1.0
order,202,target_permutation,0.4666666666666667,28,60,0.34627906041438805,0.5910657297284178,100.0,0.6
side,202,no_connections,0.48333333333333334,29,60,0.36175049539733095,0.6069218996740718,1000.0,0.4
order,202,no_connections,0.5166666666666667,31,60,0.3930781003259281,0.6382495046026689,1000.0,0.5
side,303,connectome,1.0,60,60,0.9398281478579132,0.9999999999999999,1000.0,1.0
side,303,shuffled_labels,0.6333333333333333,38,60,0.5068300063010338,0.743790833127743,1000.0,0.55
order,303,connectome,0.5333333333333333,32,60,0.40893427027158225,0.653720939585612,100.0,0.65
order,303,shuffled_labels,0.4666666666666667,28,60,0.34627906041438805,0.5910657297284178,100.0,0.35
side,303,target_permutation,0.8833333333333333,53,60,0.7782121197582949,0.9423227935994386,1000.0,0.9
order,303,target_permutation,0.5,30,60,0.37735024241556087,0.6226497575844392,100.0,0.75
side,303,no_connections,0.4166666666666667,25,60,0.30064278558341906,0.5427191897735955,1000.0,0.6
order,303,no_connections,0.4166666666666667,25,60,0.30064278558341906,0.5427191897735955,1000.0,0.6
