task,seed,split,trial,label,amplitude,noise_seed
side,101,train,0,1,0.9483637124330901,7296357080781626432
side,101,train,1,0,0.72665704917011,963896011825908757
side,101,train,2,0,0.8485200718987791,6110698468409483048
side,101,train,3,0,0.6271323115074636,280292328815795952
side,101,train,4,0,0.8417768146085841,8107998449169652597
side,101,train,5,1,0.7031813311989804,821598994332630041
side,101,train,6,1,0.8785405060479292,6357237399766153670
side,101,train,7,0,0.5884761998444891,6626031590814198930
side,101,train,8,1,0.8966333692752684,4608565653893522681
side,101,train,9,1,0.7196496512076559,8538031269002111592
side,101,train,10,1,0.656878378467677,852354796946417925
side,101,train,11,1,0.7404967595822491,2562339477577658727
side,101,train,12,1,0.856138991396928,517283299298860697
side,101,train,13,0,0.8194186328755,8872443277179639187
side,101,train,14,1,0.8856396365211816,569457428684467219
side,101,train,15,1,0.6696575705025877,6167295368644950279
side,101,train,16,0,0.8333061677682818,5609229242930906352
side,101,train,17,1,0.591691974010619,6686561112221743098
side,101,train,18,1,0.5760928535190512,7979701135432826413
side,101,train,19,0,0.7301855994103553,4932886776712569249
side,101,train,20,1,0.8537852992007033,6787907128755233599
side,101,train,21,1,0.8963477862949635,5846837430308291451
side,101,train,22,1,0.7570896540536977,5780244928639622304
side,101,train,23,1,0.8903431596554345,8970813106100559738
side,101,train,24,0,0.6581355891003673,8281394753239300054
side,101,train,25,0,0.6685451649667581,8359128526710192933
side,101,train,26,0,0.6008168113139368,183457281982251076
side,101,train,27,1,0.9423697360138715,2172700972542618262
side,101,train,28,1,0.7654610649991362,7476518020201805255
side,101,train,29,0,0.9010212739412005,5149387096615245595
side,101,train,30,1,0.7920047899762707,373095001905139838
side,101,train,31,0,0.6221724944483217,1269401464941306386
side,101,train,32,1,0.7666821631401965,6535266570053301504
side,101,train,33,0,0.6204734492472013,8833345360341773180
side,101,train,34,1,0.7304062787192945,8364706288676785993
side,101,train,35,0,0.565385662832688,3795079449233021717
side,101,train,36,0,0.8376974754822402,4088882123512764737
side,101,train,37,1,0.6142018140326481,1244022804498170509
side,101,train,38,1,0.5846895088889459,2342516197717241407
side,101,train,39,0,0.7464075736543597,3105011213219868388
side,101,train,40,1,0.8516849151832144,4363934506967798279
side,101,train,41,0,0.785138105062315,1130757697638263738
side,101,train,42,0,0.7540585709947393,7452944130015608081
side,101,train,43,0,0.6945330674893343,73215353264539701
side,101,train,44,1,0.7610112702651863,1714205026402469134
side,101,train,45,1,0.5908510562211137,3368395763928458140
side,101,train,46,0,0.7684117650004423,885483099246379593
side,101,train,47,0,0.8858759629059876,7247295968735983351
side,101,train,48,0,0.6191666494343051,396473339533652080
side,101,train,49,0,0.6741219291260022,3551828185563491468
side,101,train,50,1,0.5936953042865534,965365576093228533
side,101,train,51,1,0.6966445255385232,395284457152682618
side,101,train,52,1,0.8094362953431311,4198696624006150989
side,101,train,53,0,0.6561891451604653,4570571622479572258
side,101,train,54,0,0.6904687234095704,1579610349269509201
